Date,Score
2024-12-30,40.62
2024-12-31,0.0
2025-01-01,0.0
2025-01-02,20.5
2025-01-03,0.0
2025-01-04,28.61
2025-01-05,0.0
2025-01-06,0.0
2025-01-07,31.48
2025-01-08,8.49
2025-01-09,-4.04
2025-01-10,-2.07
2025-01-11,-6.45
2025-01-12,43.77
2025-01-13,32.85
2025-01-14,0.0
2025-01-15,15.29
2025-01-16,24.77
2025-01-17,12.24
2025-01-18,15.97
2025-01-19,0.0
2025-01-20,8.1
2025-01-21,-6.69
2025-01-22,0.22
2025-01-23,0.0
2025-01-24,-47.35
2025-01-25,35.19
2025-01-26,44.54
2025-01-27,8.05
2025-01-28,5.33
2025-01-29,36.95
2025-01-30,0.26
2025-01-31,-10.25
2025-02-01,11.15
2025-02-02,15.95
2025-02-03,16.8
2025-02-04,19.65
2025-02-05,-0.51
2025-02-06,31.58
2025-02-07,22.19
2025-02-08,4.57
2025-02-09,15.51
2025-02-10,4.33
2025-02-11,12.35
2025-02-12,7.88
2025-02-13,8.87
2025-02-14,-3.7
2025-02-15,9.03
2025-02-16,-9.8
2025-02-17,-9.02
2025-02-18,4.55
2025-02-19,0.43
2025-02-20,32.96
2025-02-21,9.39
2025-02-22,0.0
2025-02-23,0.0
2025-02-24,35.02
2025-02-25,40.42
2025-02-26,0.0
2025-02-27,0.0
2025-02-28,26.53
2025-03-01,-7.06
2025-03-02,-12.14
2025-03-03,-14.76
2025-03-04,-5.7
2025-03-05,0.0
2025-03-06,-1.52
2025-03-07,28.16
2025-03-08,0.0
2025-03-09,-1.19
2025-03-10,14.54
2025-03-11,0.0
2025-03-12,10.33
2025-03-13,-0.34
2025-03-14,-7.09
2025-03-15,8.25
2025-03-16,-19.27
2025-03-17,18.28
2025-03-18,8.27
2025-03-19,7.8
2025-03-20,13.2
2025-03-21,7.79
2025-03-22,18.89
2025-03-23,8.25
2025-03-24,41.42
2025-03-25,0.62
2025-03-26,-9.35
2025-03-27,-10.58
2025-03-28,-9.3
2025-03-29,17.11
2025-03-30,-7.96
2025-03-31,1.21
2025-04-01,26.69
2025-04-02,17.27
2025-04-03,5.63
